Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения
"Сложи узор класс эконом";"";"OKS";"RUB";"595.00";"1";"";"";"";"Детская развивающая игра 'Сложи узор'. Набор из 16 деревянных кубиков, окрашенных в 4цвета. 4 грани в один цвет, и 2 грани в 2 цвета по диагонали пополам. При помощи этого игрового материала можно сложить множество различных узоров. Это позволяет развить в ребенке способность выполнять задание по образцу, а также умение проявлять фантазию и творчество. Упаковка: полиэтиленовая сумочка на молнии.

Размер грани кубика 3 см.

https://www.youtube.com/watch?v=YBooQz-yETo";"";"Сложи узор класс эконом";"";"";"slozhi-uzor-klass-ekonom-oks-1589770211";"";"";"12 cm × 3 cm × 12 cm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/6_2.jpg?itok=7Yelxuva"
"Дроби комплект класс элит";"";"OKS";"RUB";"1228.00";"1";"";"";"";"Детская развивающая игра 'Дроби комплект класс элит'. Нарядная коробка с частями дробей от целой до двенадцатой. Что развивает? На примере круга, разделенного на части, игра формирует у ребенка представление о дроби как о части целого, о соотношении дробей. Наглядная игровая ситуация легко формирует понятия, с которыми ребенок столкнется в школе на уроках математики.  Каждая дробь имеет свой цвет.";"";"Дроби комплект класс элит";"";"";"drobi-komplekt-klass-elit-oks-1461664169";"";"";"17 cm × 10 cm × 17 cm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/38.jpg?itok=rZ4esbtn"
"Дроби комплект класс стандарт";"";"OKS";"RUB";"671.00";"1";"";"";"";"Детская развивающая игра 'Дроби комплект класс стандарт'. Три планшета размером А4 по 4 круга на каждом. Круг разделен на части от целой до двенадцатой включительно. При помощи этого пособия дети получат навыки устного счета, усвоят дроби.";"";"Дроби комплект класс стандарт";"";"";"drobi-komplekt-klass-standart-oks-1153485521";"";"";"30 cm × 2 cm × 21 cm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/36.jpg?itok=59Y71Ahs"
"Дроби комплект 2 уровень класс эконом";"";"OKS";"RUB";"272.00";"1";"";"";"";"Детская развивающая игра 'Дроби комплект 2 уровень'. Три планшета размером А5 по 2 круга на каждом. Круг разделен на части от седьмой до двенадцатой включительно. При помощи этого пособия дети получат навыки устного счета, усвоят дроби.";"";"Дроби комплект 2 уровень класс эконом";"";"";"drobi-komplekt-2-uroven-klass-ekonom-oks-94666541";"";"";"21 cm × 1 cm × 15 cm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/34.jpg?itok=_lQByEDX"
"Дроби комплект 1 уровень класс эконом";"";"OKS";"RUB";"248.00";"1";"";"";"";"Детская развивающая игра 'Дроби комплект 1 уровень'. Три планшета размером А5, по 2 круга на каждом. Каждый круг разделен на части от целой до шестой включительно. При помощи этого пособия дети получат навыки устного счета, усвоят дроби.";"";"Дроби комплект 1 уровень класс эконом";"";"";"drobi-komplekt-1-uroven-klass-ekonom-oks-1827442468";"";"";"21 cm × 1 cm × 15 cm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/32.jpg?itok=4ExztCQi"
"Собери квадрат 3 уровень сложности класс элит";"";"OKS";"RUB";"1191.00";"1";"";"";"";"Детская развивающая игра 'собери квадрат'. Нарядная деревянная коробка с набором из 12 квадратиков, по-разному разделенными на 4, 5, 6 и 7 частей. Каждый квадратик имеет свой цвет. Складывая квадраты из разноцветных кусочков различной формы, ребенок выполняет несколько видов работ, неодинаковых по содержанию и степени сложности. В процессе игры ребенок знакомится с сенсорными эталонами формы и цвета , соотношение целого и части, учится разбивать сложное задание на несколоко простых, создавая алгоритм игры. Выполнение игровых заданий способствует развитию сообразительности, пространственного воображения, логического мышления, математических и творческих способностей детей дошкольного возраста.";"";"Собери квадрат 3 уровень сложности класс элит";"";"";"soberi-kvadrat-3-uroven-slozhnosti-klass-elit-oks-1761859567";"";"";"17 cm × 10 cm × 17 cm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/20.jpg?itok=5ujE7eEx"
"Собери квадрат 2 уровень сложности класс элит";"";"OKS";"RUB";"1148.00";"1";"";"";"";"Детская развивающая игра 'собери квадрат'. Нарядная деревянная коробка с набором из 12 квадратиков, по-разному разделенными на 3, 4 и 5 частей. Каждый квадратик имеет свой цвет. Складывая квадраты из разноцветных кусочков различной формы, ребенок выполняет несколько видов работ, неодинаковых по содержанию и степени сложности. В процессе игры ребенок знакомится с сенсорными эталонами формы и цвета , соотношение целого и части, учится разбивать сложное задание на несколько простых, создавая алгоритм игры. Выполнение игровых заданий способствует развитию сообразительности, пространственного воображения, логического мышления, математических и творческих способностей детей дошкольного возраста.";"";"Собери квадрат 2 уровень сложности класс элит";"";"";"soberi-kvadrat-2-uroven-slozhnosti-klass-elit-oks-1547880906";"";"";"17 cm × 10 cm × 17 cm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/14_0.jpg?itok=l_j_OQ-5"
"Собери квадрат 1 уровень сложности класс элит";"";"OKS";"RUB";"1126.00";"1";"";"";"";"Детская развивающая игра 'собери квадрат'. Нарядная деревянная коробка с набором из 12 квадратов, по-разному разделенными на 1, 2 и 3 части. Каждый квадрат имеет свой цвет.Складывая квадраты из разноцветных кусочков различной формы, ребенок выполняет несколько видов работ, неодинаковых по содержанию и степени сложности. В процессе игры ребенок знакомится с сенсорными эталонами формы и цвета , соотношение целого и части, учится разбивать сложное задание на несколоко простых, создавая алгоритм игры. Выполнение игровых заданий способствует развитию сообразительности, пространственного воображения, логического мышления, математических и творческих способностей детей дошкольного возраста.";"";"Собери квадрат 1 уровень сложности класс элит";"";"";"soberi-kvadrat-1-uroven-slozhnosti-klass-elit-oks-928508152";"";"";"17 cm × 10 cm × 17 cm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/10_2_0.jpg?itok=mm4NXEGI"
"Собери квадрат 3 уровень сложности класс стандарт";"";"OKS";"RUB";"404.00";"1";"";"";"";"Детская развивающая игра 'собери квадрат'. Планшет размером А4 с 12-ю квадратиками, по-разному разделенными на 4, 5, 6 и 7 частей. Складывая квадраты из разноцветных кусочков различной формы, ребенок выполняет несколько видов работ, неодинаковых по содержанию и степени сложности. В процессе игры ребенок знакомится с сенсорными эталонами формы и цвета , соотношение целого и части, учится разбивать сложное задание на несколоко простых, создавая алгоритм игры. Выполнение игровых заданий способствует развитию сообразительности, пространственного воображения, логического мышления, математических и творческих способностей детей дошкольного возраста.";"";"Собери квадрат 3 уровень сложности класс стандарт";"";"";"soberi-kvadrat-3-uroven-slozhnosti-klass-standart-oks-1659292689";"";"";"300 cm × 5 cm × 210 cm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/18_2.jpg?itok=yXqkF0Do"
"Собери квадрат 2 уровень сложности класс стандарт";"";"OKS";"RUB";"389.00";"1";"";"";"";"Детская развивающая игра 'собери квадрат'. Планшет размером А4 с 12-ю квадратами, по-разному разделенными на 3, 4 и 5 частей. Складывая квадраты из разноцветных кусочков различной формы, ребенок выполняет несколько видов работ, неодинаковых по содержанию и степени сложности. В процессе игры ребенок знакомится с сенсорными эталонами формы и цвета , соотношение целого и части, учится разбивать сложное задание на несколько простых, создавая алгоритм игры. Выполнение игровых заданий способствует развитию сообразительности, пространственного воображения, логического мышления, математических и творческих способностей детей дошкольного возраста.";"";"Собери квадрат 2 уровень сложности класс стандарт";"";"";"soberi-kvadrat-2-uroven-slozhnosti-klass-standart-oks-1330161744";"";"";"300 cm × 5 cm × 210 cm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/13_0.jpg?itok=H0aW8KRI"
"Собери квадрат 1 уровень сложности класс стандарт";"";"OKS";"RUB";"327.00";"1";"";"";"";"Детская развивающая игра 'собери квадрат'. Планшет размером А4 с 12-ю квадратами, по-разному разделенными на части, но не более, чем на 3. Складывая квадраты из разноцветных кусочков различной формы, ребенок выполняет несколько видов работ, неодинаковых по содержанию и степени сложности. В процессе игры ребенок знакомится с сенсорными эталонами формы и цвета , соотношение целого и части, учится разбивать сложное задание на несколько простых, создавая алгоритм игры. Выполнение игровых заданий способствует развитию сообразительности, пространственного воображения, логического мышления, математических и творческих способностей детей дошкольного возраста.";"";"Собери квадрат 1 уровень сложности класс стандарт";"";"";"soberi-kvadrat-1-uroven-slozhnosti-klass-standart-oks-627346134";"";"";"210 mm × 300 mm × 4 mm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/8_1_0.Jpg?itok=0pfW1-yO"
"Собери квадрат 3 уровень сложности класс эконом";"";"OKS";"RUB";"249.00";"1";"";"";"";"Детская развивающая игра 'собери квадрат' 3 уровень сложности. Два планшета размером А5 с квадратиками, по-разному разделенными на 4, 5, 6 и 7 частей. Малышам предлагается собрать квадратики из частей.";"";"Собери квадрат 3 уровень сложности класс эконом";"";"";"soberi-kvadrat-3-uroven-slozhnosti-klass-ekonom-oks-1486399523";"";"";"210 mm × 7 mm × 150 mm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/dg.jpg?itok=w3ZsTaFT"
"Собери квадрат 2 уровень сложности класс эконом";"";"OKS";"RUB";"236.00";"1";"";"";"";"Детская развивающая игра 'собери квадрат'. Два пленшета размером А5 с квадратами, по-разному разделенными на 3, 4, и 5 частей. Складывая квадраты из разноцветных кусочков различной формы, ребенок выполняет несколько видов работ, неодинаковых по содержанию и степени сложности. В процессе игры ребенок знакомится с сенсорными эталонами формы и цвета , соотношение целого и части, учится разбивать сложное задание на несколоко простых, создавая алгоритм игры. Выполнение игровых заданий способствует развитию сообразительности, пространственного воображения, логического мышления, математических и творческих способностей детей дошкольного возраста.";"";"Собери квадрат 2 уровень сложности класс эконом";"";"";"soberi-kvadrat-2-uroven-slozhnosti-klass-ekonom-oks-944682004";"";"";"210 mm × 7 mm × 150 mm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/5e9d4f16b7e3_0.jpg?itok=BSwEzJao"
"Собери квадрат 1 уровень сложности класс эконом";"";"OKS";"RUB";"223.00";"1";"";"";"";"Детская развивающая игра 'Собери квадрат' представляет из себя два планшета размером А5 с квадратами, по-разному разделенными на 1, 2 и 3 части. Складывая квадраты из разноцветных кусочков различной формы, ребенок выполняет несколько видов работ, неодинаковых по содержанию и степени сложности. В процессе игры ребенок знакомится с сенсорными эталонами формы и цвета , соотношение целого и части, учится разбивать сложное задание на несколоко простых, создавая алгоритм игры. Выполнение игровых заданий способствует развитию сообразительности, пространственного воображения, логического мышления, математических и творческих способностей детей дошкольного возраста.";"";"Собери квадрат 1 уровень сложности класс эконом";"";"";"soberi-kvadrat-1-uroven-slozhnosti-klass-ekonom-oks-1648557747";"";"";"210 mm × 7 mm × 150 mm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/426.jpg?itok=jcD1ZS8x"
"!!Игры Монтессори";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Теремок класс Элит";"";"OKS";"RUB";"3225.00";"1";"";"";"";"Домик-теремок сшит из ткани.  Двери и окошки в нем открываются и закрываются при помощи разных видов застежек: липучка, шнуровка, пуговки, кнопочки, молния, крючочки. В теремке обитают мышка, лягушка, зайка, лиса, волк, медведь и комарик.  Это  плоскостные фигурки двух размеров (большие и маленькие). Также в состав игры входят парные таблички с основными цветами, с которых следует начинать изучение цветов. В комплекте есть подробная методичка к игре.  Упаковка: нарядная деревянная коробка.    

«Теремок» - известный сюжет в новой развивающей игре

            Игра «Теремок» соответствует ФГОС ДО, хорошо укладывается в образовательные программы детских садов, доступна как для развития обычных детей, так и для детей с ОВЗ, а также будет интересна для домашних игр в кругу семьи.

            Простой сюжет легко запоминается детьми, а красивое, интересное и приятное на ощупь исполнение «Теремка» позволяет надолго удерживать внимание ребенка.

            В процессе занятий с игрой у детей активизируются:


	мелкая моторика;
	внимание;
	память;
	речь;
	мышление;
	эмоциональная сфера.
	Как и во что играть с «Теремком»?
	            Варианты использования игры «Теремок» разнообразны и часто применяются на занятиях по развитию речи — рассказывание и проигрывание сказки — и в менее традиционных формах работы, когда требуется сформировать и натренировать определенный навык у ребенка.

	            Если классическая форма игры «Теремок» (театрализация, рассказывание и обыгрывание сказки) не вызывает вопросов или трудностей, но других способах применения этой игры имеет смысл остановиться отдельно.

	Игра «Узнай героя по контуру»

	            Поскольку «Теремок» - сказка с большим количеством персонажей-животных, представленных в этой игре деревянными фигурками, то ребенку будет интересно и полезно тренировать моторику и повторить названия основных животных.

	            Спрячьте фигурки и попросите ребенка закрыть глаза. Возьмите ребенка за руку и проведите его пальчиком по контуру фигурки: «Кто это?» Если для малыша трудна инструкция «закрой глазки», просто переверните фигурку и попросите угадать, кто же пришел в «Теремок».

	            Как только зверушка будет названа верно, ее следует «поселить» в «Теремок» - для этого ребенку снова придется потрудиться — застежки, липучки и шнуровки на «Теремке» не так-то легко открыть!

	Игра «Что изменилось? Кто спрятался?»

	            Эта игра ориентирована на развитие памяти. Сначала выкладываем все фигурки на теремок, затем просим закрыть ребенка глаза: «Наступила ночь, и все уснули! Закрывай глазки!» Далее вы прячете любую фигурку, просите ребенка открыть глаза и назвать, кто же спрятался.

	            Для многих ребят это довольно трудная задача — ведь надо вспомнить всех, кто был в теремке. Если малышу тяжело ответить на ваш вопрос, предложите вместе назвать всех героев сказки и поискать их в домике.

	Фигурки персонажей вместо трафаретов

	            Часто во время изучения с детьми какой-то темы воспитатели и специалисты стремятся задействовать все органы чувств ребенка и все возможные варианты ее обыгрывания: рисунки, лепка из пластилина, раскрашивание, работа с игрушками, поиск в природе и быту, стихи и т. д.

	            Нахождение необычных способов и подходов к обучению помогают существенно разнообразить процесс и заинтересовать как самого ребенка, так и взрослого, который с ним работает. Чтобы найти креативный подход в работе, нужно попытаться использовать известные объекты не типичным для них образом.

	            Так мы на практике обнаружили, что фигурки в «Теремке» ОКСВА удобны при использовании их в качестве трафаретов. В результате у детей получаются собственные уникальные герои, которых можно раскрасить, вырезать, сделать коллаж и т. д.

	       

	            Игра «Теремок» - одно из классических игровых пособий, которое будет интересно детям младшего дошкольного возраста. В применении этой игры при работе с детьми важна не столько ее универсальность, сколько — ценность культурной информации, которую несет игра, и возможность развития навыка сюжетно-ролевой игры, пусть и с опорой на известный сюжет.

	«Теремок» - развивающая игра производства ОКСВА с элементами театрализации. Это игровое пособие также широко используется на развивающих занятиях с детьми с ОВЗ, такими как: ДЦП, умственная отсталость, ЗПР и аутизм.
	


      ";"";"Теремок класс Элит";"";"";"teremok-klass-elit-oks-809689405";"";"";"30 cm × 8 cm × 30 cm";"";"";"Ткань";"http://oksva-tm.ru/sites/default/files/styles/large/public/2_2.gif?itok=hzwIEyIT"
"Теремок в сумочке";"";"OKS";"RUB";"3059.00";"1";"";"";"";"Игра представляет собой 'Теремок' с застежками, фигурки зверей, цветные таблички, шнурок, брошюра «Теремок». Игровой материал предназначен для обучения детей практическим навыкам использования застежек, тренировке цветоразличения, развитию мелкой моторики руки. Игра знакомит детей с русскими сказками, театральной деятельностью. Яркий и нарядный «Теремок» украсит и детскую комнату, и группу детского сада.   В комплект не входит игровое поле!!!

«Теремок» - известный сюжет в новой развивающей игре

            Игра «Теремок» соответствует ФГОС, хорошо укладывается в образовательные программы детских садов, доступна как для развития обычных детей, так и для детей с ОВЗ, а также будет интересна для домашних игр в кругу семьи.

            Простой сюжет легко запоминается детьми, а красивое, интересное и приятное на ощупь исполнение «Теремка» позволяет надолго удерживать внимание ребенка.

            В процессе занятий с игрой у детей активизируются:


	мелкая моторика;
	внимание;
	память;
	речь;
	мышление;
	эмоциональная сфера.
	Как и во что играть с «Теремком»?

	            Варианты использования игры «Теремок» разнообразны и часто применяются на занятиях по развитию речи — рассказывание и проигрывание сказки — и в менее традиционных формах работы, когда требуется сформировать и натренировать определенный навык у ребенка.

	            Если классическая форма игры «Теремок» (театрализация, рассказывание и обыгрывание сказки) не вызывает вопросов или трудностей, но других способах применения этой игры имеет смысл остановиться отдельно.

	Игра «Узнай героя по контуру»

	            Поскольку «Теремок» - сказка с большим количеством персонажей-животных, представленных в этой игре деревянными фигурками, то ребенку будет интересно и полезно тренировать моторику и повторить названия основных животных.

	            Спрячьте фигурки и попросите ребенка закрыть глаза. Возьмите ребенка за руку и проведите его пальчиком по контуру фигурки: «Кто это?» Если для малыша трудна инструкция «закрой глазки», просто переверните фигурку и попросите угадать, кто же пришел в «Теремок».

	            Как только зверушка будет названа верно, ее следует «поселить» в «Теремок» - для этого ребенку снова придется потрудиться — застежки, липучки и шнуровки на «Теремке» не так-то легко открыть!

	Игра «Что изменилось? Кто спрятался?»

	            Эта игра ориентирована на развитие памяти. Сначала выкладываем все фигурки на теремок, затем просим закрыть ребенка глаза: «Наступила ночь, и все уснули! Закрывай глазки!» Далее вы прячете любую фигурку, просите ребенка открыть глаза и назвать, кто же спрятался.

	            Для многих ребят это довольно трудная задача — ведь надо вспомнить всех, кто был в теремке. Если малышу тяжело ответить на ваш вопрос, предложите вместе назвать всех героев сказки и поискать их в домике.

	Фигурки персонажей вместо трафаретов

	            Часто во время изучения с детьми какой-то темы воспитатели и специалисты стремятся задействовать все органы чувств ребенка и все возможные варианты ее обыгрывания: рисунки, лепка из пластилина, раскрашивание, работа с игрушками, поиск в природе и быту, стихи и т. д.

	            Нахождение необычных способов и подходов к обучению помогают существенно разнообразить процесс и заинтересовать как самого ребенка, так и взрослого, который с ним работает. Чтобы найти креативный подход в работе, нужно попытаться использовать известные объекты не типичным для них образом.

	            Так мы на практике обнаружили, что фигурки в «Теремке» ОКСВА удобны при использовании их в качестве трафаретов. В результате у детей получаются собственные уникальные герои, которых можно раскрасить, вырезать, сделать коллаж и т. д.

	       

	            Игра «Теремок» - одно из классических игровых пособий, которое будет интересно детям младшего дошкольного возраста. В применении этой игры при работе с детьми важна не столько ее универсальность, сколько — ценность культурной информации, которую несет игра, и возможность развития навыка сюжетно-ролевой игры, пусть и с опорой на известный сюжет.

	«Теремок» - развивающая игра производства ОКСВА с элементами театрализации. Это игровое пособие также широко используется на развивающих занятиях с детьми с ОВЗ, такими как: ДЦП, умственная отсталость, ЗПР и аутизм.";"";"Теремок в сумочке";"";"";"teremok-v-sumochke-oks-1724622521";"";"";"30 cm × 8 cm × 23 cm";"";"";"Ткань";"http://oksva-tm.ru/sites/default/files/styles/large/public/teremok_ekonom.gif?itok=C1_WQq1l"
