Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Черепашка-маленькая";"";"26К";"RUB";"630.0000";"1";"";"";"<p><strong></strong><strong>Размеры: </strong>диаметр шара – 5см, длина тела черепашки -9см</p>  <ul><li> благодаря вращающимся лапкам – бусинам черепаха катится по гладкой поверхности</li><li>на спинке черепахи лежит большой шар – панцирь</li><li><span></span> при движении черепашки большой шар вращается</li><li>тело черепашки не окрашено</li><li> шар раскрашен яркими полосками в цвета радуги</li><li> шар не закреплен на спинке</li></ul>  <p><strong>Игровые возможности:</strong></p>  <p>Когда черепашка «ползет», т";"<p><strong></strong><strong>Размеры: </strong>диаметр шара – 5см, длина тела черепашки -9см</p>  <ul><li> благодаря вращающимся лапкам – бусинам черепаха катится по гладкой поверхности</li><li>на спинке черепахи лежит большой шар – панцирь</li><li><span></span> при движении черепашки большой шар вращается</li><li>тело черепашки не окрашено</li><li> шар раскрашен яркими полосками в цвета радуги</li><li> шар не закреплен на спинке</li></ul>  <p><strong>Игровые возможности:</strong></p>  <p>Когда черепашка «ползет», т.е. ребенок катит ее, шарик на ее спине крутится.</p><p> Это очень забавляет детей. </p><p><br></p>";"";"Черепашка-маленькая";"";"";"cherepashka-malenkaya";"";"";"";"http://valda.ru/wa-data/public/shop/products/39/00/39/images/400/400.750.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Плошка с ложкой";"";"22Р";"RUB";"180.0000";"1";"";"";"<p><strong>ВОЗРАСТ</strong>: с 3 лет</p><p>Набор для детского творчества</p>";"<p><strong>ВОЗРАСТ</strong>: с 3 лет</p><p>Набор для детского творчества</p>";"";"Плошка с ложкой";"";"";"ploshka-s-lozhkoy";"";"";"";"http://valda.ru/wa-data/public/shop/products/48/00/48/images/213/213.970.jpg";"http://valda.ru/wa-data/public/shop/products/48/00/48/images/214/214.970.jpg";"http://valda.ru/wa-data/public/shop/products/48/00/48/images/212/212.970.jpg";"http://valda.ru/wa-data/public/shop/products/48/00/48/images/215/215.970.jpg";"";"";"";"";"";"";"";"";"";"";"";""
"Свистулька неокрашенная (гриб, матрешка, ёлочка)";"";"42Р";"RUB";"90.0000";"1";"";"";"<p><strong>ВОЗРАСТ:</strong> с 3 лет";"<p><strong>ВОЗРАСТ:</strong> с 3 лет.</p><p>Деревянная неокрашенная игрушка.</p>";"";"Свистулька неокрашенная (гриб, матрешка, ёлочка)";"";"";"svistulka-neokrashennaya-grib-matreshka-ёlochka";"";"";"";"http://valda.ru/wa-data/public/shop/products/45/00/45/images/404/404.750.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Свистулька неокрашенная птичка";"";"42РП";"RUB";"100.0000";"1";"";"";"";"";"";"Свистулька неокрашенная птичка";"";"";"svistulka-neokrashennaya-ptichka";"";"";"";"http://valda.ru/wa-data/public/shop/products/44/00/44/images/408/408.750.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Клоун-верхолаз";"";"";"RUB";"1000.0000";"1";"";"";"<p><strong>Клоун – верхолаз</strong> – настоящий акробат, но, чтобы заставить его выделывать свои фокусы на веревочках, потребуется сноровка:</p>    <ul><li>у клоуна мягконабивное тело, а голова, ручки и ботинки деревянные;</li><li><span></span>руками клоун «держится» за два шнура, по которым он может взбираться вверх или скользить вниз;</li><li>шнурки закреплены на деревянной перекладине, с петелькой для подвешивания;</li><li>клоун одет в яркий полосатый комбинезон и колпачок с бубенчиком;</li><li>лицо клоуна нарисовано, волосы сделаны из ниток</li></ul>    <p><strong>Как играть:</strong></p>  <ol><li>  Сначала клоуна необходимо надежно закрепить, например, в проеме двери за имеющуюся планку";"<p><strong>Клоун – верхолаз</strong> – настоящий акробат, но, чтобы заставить его выделывать свои фокусы на веревочках, потребуется сноровка:</p>    <ul><li>у клоуна мягконабивное тело, а голова, ручки и ботинки деревянные;</li><li><span></span>руками клоун «держится» за два шнура, по которым он может взбираться вверх или скользить вниз;</li><li>шнурки закреплены на деревянной перекладине, с петелькой для подвешивания;</li><li>клоун одет в яркий полосатый комбинезон и колпачок с бубенчиком;</li><li>лицо клоуна нарисовано, волосы сделаны из ниток</li></ul>    <p><strong>Как играть:</strong></p>  <ol><li>  Сначала клоуна необходимо надежно закрепить, например, в проеме двери за имеющуюся планку. </li><li>Заставить клоуна двигаться можно двумя способами. </li></ol><ul><li>поочередно дергать то за правый, то за левый шарик, тем самым поднимая клоуна до верхней планки. Затем , держа шарики в руках, движения прекращаем, и клоун сам спускается вниз по веревочкам.</li><li>держа клоуна ровно перед собой равномерно наматывать веревочки на его ручки, при этом он как бы делает сальто назад.Подняв таким образом клоуна до определенной высоты, его нужно подтолкнуть с таким расчетом, чтобы он начал раскручиваться обратно, спускаясь вниз.</li></ul>    <p><strong>Размеры:</strong> рост клоуна -17см</p>  <p><strong>Материал:</strong> дерево, текстиль</p>  <p>Упаковка: полиэтиленовый  пакет</p>";"";"Клоун-верхолаз";"";"";"kloun-verkholaz";"";"";"";"http://valda.ru/wa-data/public/shop/products/06/00/6/images/401/401.970.jpg";"http://valda.ru/wa-data/public/shop/products/06/00/6/images/176/176.970.jpg";"http://valda.ru/wa-data/public/shop/products/06/00/6/images/177/177.970.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"Набор звучащих шаров";"";"40М";"RUB";"930.0000";"1";"";"";"<p>Звучащие шары, выполненные <strong>по методике Марии Монтессори</strong>";"<p>Звучащие шары, выполненные <strong>по методике Марии Монтессори</strong>. Великолепно подойдут для занятий в классах Монтессори.<br>
</p><p>Набор звучащих шаров развивает мелкую моторику рук и звуковое восприятие малыша. Знакомит с понятиями разный/одинаковый.<br>
</p><p><strong>Музыкальные шары</strong> дают возможность определить звуки на слух, дифференцировать их.<br>
</p><p>Все шары поделены на пары с одинаковым звуком. Задача ребенка:  нужно найти одинаково звучащую пару или разложить шары по убыванию (нарастанию) громкости звука. Причем какждая пара одинаковозвучащих шаров состоит из одного большого и одного маленькгого шарика.<br>
</p><p>-Звучащие шары изготовлены из натурального дерева<br>
</p><p>- Вручную окрашены безопасными акриловыми красками профессиональными художниками.<br>
</p>";"";"Набор звучащих шаров";"";"";"nabor-zvuchashchikh-sharov";"";"";"";"http://valda.ru/wa-data/public/shop/products/63/00/63/images/591/591.970.jpg";"http://valda.ru/wa-data/public/shop/products/63/00/63/images/594/594.970.jpg";"http://valda.ru/wa-data/public/shop/products/63/00/63/images/592/592.970.jpg";"http://valda.ru/wa-data/public/shop/products/63/00/63/images/593/593.970.jpg";"http://valda.ru/wa-data/public/shop/products/63/00/63/images/403/403.970.jpg";"";"";"";"";"";"";"";"";"";"";""
"Волчок-звёздочка";"";"31РЗ";"RUB";"100.0000";"1";"";"";"<p><strong></strong><strong>Способы игры в эти волчки:</strong></p><p>Первый: играющие одновременно запускают все волчки";"<p><strong></strong><strong>Способы игры в эти волчки:</strong></p><p>Первый: играющие одновременно запускают все волчки. Чей волчок вращается дольше всех, тот и выигрывает.</p><p>Второй: на столе расставляют любые имеющиеся предметы: шарики, чурочки, кубики и т.д. Волчки запускают по очереди. Чей волчок собьет наибольшее число предметов, тот и выигрывает.</p><p>Третий: волчки запускают по очереди в воротца или между предметами, расставленными на столе. Выигрывает тот, чей волчок их не заденет.</p><p>Четвертый: из цветной бумаги вырезают круги или квадраты – игровое поле. Играющие одновременно пускают волчки каждый на своем игровом поле. Чей волчок не сойдет с игрового поля, тот выигрывает.</p>";"";"Волчок-звёздочка";"";"";"volchok-zvёzdochka";"";"";"";"http://valda.ru/wa-data/public/shop/products/41/00/41/images/398/398.750.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Волчок-спиралька";"";"31РС";"RUB";"100.0000";"1";"";"";"<p>деревянная игрушка<br></p><br><p>Способы игры в эти волчки:<br></p><br><p>Первый: играющие одновременно запускают все волчки";"<p>деревянная игрушка<br></p><br><p>Способы игры в эти волчки:<br></p><br><p>Первый: играющие одновременно запускают все волчки. Чей волчок вращается дольше всех, тот и выигрывает.<br></p><br><p>Второй: на столе расставляют любые имеющиеся предметы: шарики, чурочки, кубики и т.д. Волчки запускают по очереди. Чей волчок собьет наибольшее число предметов, тот и выигрывает.<br></p><br><p>Третий: волчки запускают по очереди в воротца или между предметами, расставленными на столе. Выигрывает тот, чей волчок их не заденет.<br></p><br><p>Четвертый: из цветной бумаги вырезают круги или квадраты – игровое поле. Играющие одновременно пускают волчки каждый на своем игровом поле. Чей волчок не сойдет с игрового поля, тот выигрывает.<br></p>";"";"Волчок-спиралька";"";"";"volchok-spiralka";"";"";"";"http://valda.ru/wa-data/public/shop/products/42/00/42/images/397/397.750.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Волчок-юла";"";"31РЮ";"RUB";"600.0000";"1";"";"";"";"";"";"Волчок-юла";"";"";"volchok-yula";"";"";"";"http://valda.ru/wa-data/public/shop/products/43/00/43/images/405/405.970.png";"http://valda.ru/wa-data/public/shop/products/43/00/43/images/406/406.970.jpg";"http://valda.ru/wa-data/public/shop/products/43/00/43/images/407/407.970.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"Поймай-ка с кольцом";"";"16Р";"RUB";"300.0000";"1";"";"";"<iframe width='658' height='380' src='https://www";"<iframe width='658' height='380' src='https://www.youtube.com/embed/zcCnHkFMRos?rel=0&controls=0&showinfo=0' frameborder='0' allowfullscreen=''></iframe><br><br> <blockquote class='instagram-media' data-instgrm-version='7' style=' background:#FFF; border:0; border-radius:3px; box-shadow:0 0 1px 0 rgba(0,0,0,0.5),0 1px 10px 0 rgba(0,0,0,0.15); margin: 1px; max-width:658px; padding:0; width:99.375%; width:-webkit-calc(100% - 2px); width:calc(100% - 2px);'><div style='padding:8px;'> <div style=' background:#F8F8F8; line-height:0; margin-top:40px; padding:50.0% 0; text-align:center; width:100%;'> <div style=' background:url(data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACwAAAAsCAMAAAApWqozAAAABGdBTUEAALGPC/xhBQAAAAFzUkdCAK7OHOkAAAAMUExURczMzPf399fX1+bm5mzY9AMAAADiSURBVDjLvZXbEsMgCES5/P8/t9FuRVCRmU73JWlzosgSIIZURCjo/ad+EQJJB4Hv8BFt+IDpQoCx1wjOSBFhh2XssxEIYn3ulI/6MNReE07UIWJEv8UEOWDS88LY97kqyTliJKKtuYBbruAyVh5wOHiXmpi5we58Ek028czwyuQdLKPG1Bkb4NnM+VeAnfHqn1k4+GPT6uGQcvu2h2OVuIf/gWUFyy8OWEpdyZSa3aVCqpVoVvzZZ2VTnn2wU8qzVjDDetO90GSy9mVLqtgYSy231MxrY6I2gGqjrTY0L8fxCxfCBbhWrsYYAAAAAElFTkSuQmCC); display:block; height:44px; margin:0 auto -44px; position:relative; top:-22px; width:44px;'></div></div><p style=' color:#c9c8cd; font-family:Arial,sans-serif; font-size:14px; line-height:17px; margin-bottom:0; margin-top:8px; overflow:hidden; padding:8px 0 7px; text-align:center; text-overflow:ellipsis; white-space:nowrap;'><a href='https://www.instagram.com/p/BGgKPPSJU8C/' style=' color:#c9c8cd; font-family:Arial,sans-serif; font-size:14px; font-style:normal; font-weight:normal; line-height:17px; text-decoration:none;' target='_blank'>Фото опубликовано анастасия (@valda_igrushki)</a> <time style=' font-family:Arial,sans-serif; font-size:14px; line-height:17px;' datetime='2016-06-11T05:29:46+00:00'>Июн 10 2016 в 10:29 PDT</time></p></div></blockquote><br><script async='' defer='' src='//platform.instagram.com/en_US/embeds.js'></script><br><br><blockquote class='instagram-media' data-instgrm-version='7' style=' background:#FFF; border:0; border-radius:3px; box-shadow:0 0 1px 0 rgba(0,0,0,0.5),0 1px 10px 0 rgba(0,0,0,0.15); margin: 1px; max-width:658px; padding:0; width:99.375%; width:-webkit-calc(100% - 2px); width:calc(100% - 2px);'><div style='padding:8px;'> <div style=' background:#F8F8F8; line-height:0; margin-top:40px; padding:50.0% 0; text-align:center; width:100%;'> <div style=' background:url(data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACwAAAAsCAMAAAApWqozAAAABGdBTUEAALGPC/xhBQAAAAFzUkdCAK7OHOkAAAAMUExURczMzPf399fX1+bm5mzY9AMAAADiSURBVDjLvZXbEsMgCES5/P8/t9FuRVCRmU73JWlzosgSIIZURCjo/ad+EQJJB4Hv8BFt+IDpQoCx1wjOSBFhh2XssxEIYn3ulI/6MNReE07UIWJEv8UEOWDS88LY97kqyTliJKKtuYBbruAyVh5wOHiXmpi5we58Ek028czwyuQdLKPG1Bkb4NnM+VeAnfHqn1k4+GPT6uGQcvu2h2OVuIf/gWUFyy8OWEpdyZSa3aVCqpVoVvzZZ2VTnn2wU8qzVjDDetO90GSy9mVLqtgYSy231MxrY6I2gGqjrTY0L8fxCxfCBbhWrsYYAAAAAElFTkSuQmCC); display:block; height:44px; margin:0 auto -44px; position:relative; top:-22px; width:44px;'></div></div><p style=' color:#c9c8cd; font-family:Arial,sans-serif; font-size:14px; line-height:17px; margin-bottom:0; margin-top:8px; overflow:hidden; padding:8px 0 7px; text-align:center; text-overflow:ellipsis; white-space:nowrap;'><a href='https://www.instagram.com/p/BG2MPvBpU_m/' style=' color:#c9c8cd; font-family:Arial,sans-serif; font-size:14px; font-style:normal; font-weight:normal; line-height:17px; text-decoration:none;' target='_blank'>Фото опубликовано анастасия (@valda_igrushki)</a> <time style=' font-family:Arial,sans-serif; font-size:14px; line-height:17px;' datetime='2016-06-19T18:50:36+00:00'>Июн 19 2016 в 11:50 PDT</time></p></div></blockquote><br><script async='' defer='' src='//platform.instagram.com/en_US/embeds.js'></script>";"";"Поймай-ка с кольцом";"";"";"poymay-ka-s-koltsom";"";"";"";"http://valda.ru/wa-data/public/shop/products/99/00/99/images/367/367.750.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Поймай-ка с шариком";"";"9Р";"RUB";"255.0000";"1";"";"";"<iframe width='658' height='380' src='https://www";"<iframe width='658' height='380' src='https://www.youtube.com/embed/zcCnHkFMRos?rel=0&controls=0&showinfo=0' frameborder='0' allowfullscreen=''></iframe><br>
<br>
<blockquote class='instagram-media' data-instgrm-version='7' style=' background:#FFF; border:0; border-radius:3px; box-shadow:0 0 1px 0 rgba(0,0,0,0.5),0 1px 10px 0 rgba(0,0,0,0.15); margin: 1px; max-width:658px; padding:0; width:99.375%; width:-webkit-calc(100% - 2px); width:calc(100% - 2px);'><div style='padding:8px;'> <div style=' background:#F8F8F8; line-height:0; margin-top:40px; padding:50.0% 0; text-align:center; width:100%;'> <div style=' background:url(data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACwAAAAsCAMAAAApWqozAAAABGdBTUEAALGPC/xhBQAAAAFzUkdCAK7OHOkAAAAMUExURczMzPf399fX1+bm5mzY9AMAAADiSURBVDjLvZXbEsMgCES5/P8/t9FuRVCRmU73JWlzosgSIIZURCjo/ad+EQJJB4Hv8BFt+IDpQoCx1wjOSBFhh2XssxEIYn3ulI/6MNReE07UIWJEv8UEOWDS88LY97kqyTliJKKtuYBbruAyVh5wOHiXmpi5we58Ek028czwyuQdLKPG1Bkb4NnM+VeAnfHqn1k4+GPT6uGQcvu2h2OVuIf/gWUFyy8OWEpdyZSa3aVCqpVoVvzZZ2VTnn2wU8qzVjDDetO90GSy9mVLqtgYSy231MxrY6I2gGqjrTY0L8fxCxfCBbhWrsYYAAAAAElFTkSuQmCC); display:block; height:44px; margin:0 auto -44px; position:relative; top:-22px; width:44px;'></div></div><p style=' color:#c9c8cd; font-family:Arial,sans-serif; font-size:14px; line-height:17px; margin-bottom:0; margin-top:8px; overflow:hidden; padding:8px 0 7px; text-align:center; text-overflow:ellipsis; white-space:nowrap;'><a href='https://www.instagram.com/p/BGejpQgpU4k/' style=' color:#c9c8cd; font-family:Arial,sans-serif; font-size:14px; font-style:normal; font-weight:normal; line-height:17px; text-decoration:none;' target='_blank'>Фото опубликовано анастасия (@valda_igrushki)</a> <time style=' font-family:Arial,sans-serif; font-size:14px; line-height:17px;' datetime='2016-06-10T14:33:18+00:00'>Июн 10 2016 в 7:33 PDT</time></p></div></blockquote><br>
<script async='' defer='' src='//platform.instagram.com/en_US/embeds.js'></script>";"";"Поймай-ка с шариком";"";"";"poymay-ka-s-sharikom";"";"";"";"http://valda.ru/wa-data/public/shop/products/96/00/96/images/363/363.970.jpg";"http://valda.ru/wa-data/public/shop/products/96/00/96/images/165/165.970.jpg";"http://valda.ru/wa-data/public/shop/products/96/00/96/images/364/364.970.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"Бильбоке (пирамидка)";"";"10РП";"RUB";"383.0000";"1";"";"";"<iframe width='658' height='390' src='https://www";"<iframe width='658' height='390' src='https://www.youtube.com/embed/xkRaVCCff0Q?rel=0&controls=0&showinfo=0' frameborder='0' allowfullscreen=''></iframe><br>
 <br>
 <iframe width='658' height='390' src='https://www.youtube.com/embed/ZuqoigukZcw?rel=0&controls=0&showinfo=0' frameborder='0' allowfullscreen=''></iframe>";"";"Бильбоке (пирамидка)";"";"";"bilboke-piramidka";"";"";"";"http://valda.ru/wa-data/public/shop/products/95/00/95/images/374/374.970.png";"http://valda.ru/wa-data/public/shop/products/95/00/95/images/359/359.970.jpg";"http://valda.ru/wa-data/public/shop/products/95/00/95/images/163/163.970.jpg";"http://valda.ru/wa-data/public/shop/products/95/00/95/images/162/162.970.jpg";"http://valda.ru/wa-data/public/shop/products/95/00/95/images/164/164.970.jpg";"http://valda.ru/wa-data/public/shop/products/95/00/95/images/97/97.970.jpg";"http://valda.ru/wa-data/public/shop/products/95/00/95/images/168/168.970.jpg";"http://valda.ru/wa-data/public/shop/products/95/00/95/images/295/295.970.jpg";"http://valda.ru/wa-data/public/shop/products/95/00/95/images/296/296.970.jpg";"http://valda.ru/wa-data/public/shop/products/95/00/95/images/297/297.970.jpg";"";"";"";"";"";""
"Бильбоке (колокольчик)";"";"10Р";"RUB";"383.0000";"1";"";"";"";"";"";"Бильбоке (колокольчик)";"";"";"bilboke-kolokolchik";"";"";"";"http://valda.ru/wa-data/public/shop/products/94/00/94/images/375/375.970.png";"http://valda.ru/wa-data/public/shop/products/94/00/94/images/376/376.970.jpg";"http://valda.ru/wa-data/public/shop/products/94/00/94/images/158/158.970.jpg";"http://valda.ru/wa-data/public/shop/products/94/00/94/images/160/160.970.jpg";"http://valda.ru/wa-data/public/shop/products/94/00/94/images/159/159.970.jpg";"http://valda.ru/wa-data/public/shop/products/94/00/94/images/161/161.970.jpg";"";"";"";"";"";"";"";"";"";""
"Кольцеброс неокрашенный";"";"17Р";"RUB";"425.0000";"1";"";"";"<p><strong>Кольцеброс</strong> – необычная игрушка, которая заинтересует и детей, и их родителей";"<p><strong>Кольцеброс</strong> – необычная игрушка, которая заинтересует и детей, и их родителей. Представляет собой подставку, на которую нанизаны шесть колец различного диаметра.<br>
</p><br>
<p>Игра в кольцебросс развивает:<br>
</p><br>
<ul><br>
	<li>координацию движений, <br>
	</li><br>
	<li>ловкость,<br>
	</li><br>
	<li>внимание, <br>
	</li><br>
	<li>терпение.</li><br>
</ul><br>
<p><strong>Суть игры</strong> заключается в набрасывании колец на подставку. Правила можно усложнить, увеличив расстояние до цели. Выигрывает тот, кто сделает больше точных попаданий.<br>
</p><br>
<p>С малышом можно поиграть с кольцебросом не по основному назначению, а как <strong>собирание пирамидки. </strong>Для этого достаточно поставить основание кольцебросса рядом с ребенком и научить его нанизывать кольца на это основание. Хорошим преимуществом данной игры являются кольца большого размера. Удобное отверстие в кольце поможет детской ручке быстрее надеть его на стерженек. Поэтому Кольцебросс Вальда является великолепным пособием для развития мелкой моторики у ребенка.<br>
</p><br>
<p><strong>ВОЗРАСТ:</strong> с 2 лет<br>
</p><br>
<p><strong>Состав</strong>: 6 колец разного диаметра и основание<br>
</p><br>
<p><strong>Размер товара:</strong> 17х12х12см<br>
</p><br>
<p>Масса: 160гр";"";"Кольцеброс неокрашенный";"";"";"koltsebros-neokrashennyy";"";"";"";"http://valda.ru/wa-data/public/shop/products/98/00/98/images/365/365.970.jpg";"http://valda.ru/wa-data/public/shop/products/98/00/98/images/173/173.970.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";""
