Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения
"Методические рекомендации к развивающей среде 'Фиолетовый лес'";"";"";"RUB";"200";"1";"";"";"";"Методические рекомендации к развивающей среде 'Фиолетовый лес'.
Данное методическое пособие входит в состав Фиолетового леса.Возраст: любой";"";"Методические рекомендации к развивающей среде 'Фиолетовый лес'";"";"";"metodicheskie-rekomendatsii-k-razvivayushchey-srede-fioletovyy-les-gek-255100312";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_11_30/6e78346d-ae88-4ff9-b5c5-4aa5a17f8b89.png"
"Методические рекомендации 'По морям, по волнам'";"";"";"RUB";"130";"1";"";"";"";"Практическое пособие предназначено для воспитателей и методистов ДОУ. Подходит к играм  'морской' тематики)Возраст: любой";"";"Методические рекомендации 'По морям, по волнам'";"";"";"metodicheskie-rekomendatsii-po-moryam-po-volnam-gek-240786937";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_11_30/ccfcfe77-7257-4082-8e9a-d5e4b969f37d.jpg"
"Календарь ООО 'Развивающие игры Воскобовича', 2016 г.-2017 г.";"";"";"RUB";"60";"1";"";"";"";"В календаре представлены  направления деятельности компании 'Развивающие игры Воскобовича' и весь спект игр и пособий.Возраст: любой";"";"Календарь ООО 'Развивающие игры Воскобовича', 2016 г.-2017 г.";"";"";"kalendar-ooo-razvivayushchie-igry-voskobovicha-2016-g-2017-g-gek-237498423";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_11_30/2fae18d3-2058-40cb-82cd-2a7482f29546.jpg"
"Диплом детский (набор 10 шт.) - Нет в наличии";"";"";"RUB";"";"1";"";"";"";"Предназначен для награждения детей, обучающихся по технологии 'Сказочные лабиринты игры'.
Формат А4. Листы тонкие, печать текста возможна на любом принтере (не происходит застревания и замятия бумаги).
Возраст: любой";"";"Диплом детский (набор 10 шт.) - Нет в наличии";"";"";"diplom-detskiy-nabor-10-sht---net-v-nalichii-gek-572522951";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_03_21/3540dc87-3b27-4ecd-97bf-007b9ff41a2b.jpg"
"'Коврограф Ларчик' и 'МиниЛарчик'. Универсальные средства в работе с детьми дошкольного и школьного возраста. Под ред. Вакуленко Л.С., Вотиновой О.М.";"";"";"RUB";"336";"1";"";"";"";"Возраст: любой";"";"'Коврограф Ларчик' и 'МиниЛарчик'. Универсальные средства в работе с детьми дошкольного и школьного возраста. Под ред. Вакуленко Л.С., Вотиновой О.М.";"";"";"kovrograf-larchik-i-minilarchik-universalnye-sredstva-v-rabote-s-detmi-doshkolnogo-i-shkolnogo-vozrasta-pod-red-vakulenko-ls-votinovoy-om-gek-1636572628";"";"";"";"";"";"";"http://www.geokont.ru/images/2017_03_21/80c90393-2da6-4c7c-be96-ff1f5bbcddde.jpg"
"!!Фиолетовый лес";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Развивающая среда 'Фиолетовый лес'";"";"";"RUB";"16900";"1";"";"";"";"Трансформируемая развивающая среда. Возраст: любой";"";"Развивающая среда 'Фиолетовый лес'";"";"";"razvivayushchaya-sreda-fioletovyy-les-gek-752573800";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_02_24/c1eec8b3-29fe-4a37-825c-81d349ca1290.png"
"Малая развивающая среда 'Фиолетовый лес'";"";"";"RUB";"7900";"1";"";"";"";"Трансформируемая развивающая среда. Основа (1х1,25 м), состав ковролин. 
Модульные элементы на липучках. Это отдельная категория! Развивающая среда 'Фиолетовый лес'Возраст: любой";"";"Малая развивающая среда 'Фиолетовый лес'";"";"";"malaya-razvivayushchaya-sreda-fioletovyy-les-gek-533694061";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_02_24/da945370-574c-468d-893c-288cdfe42b1a.png"
"!!Коврограф 'Ларчик'";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пособие«Разноцветные квадраты»";"";"";"RUB";"180";"1";"";"";"";"Разноцветные квадраты, выполненные в хроматических и ахроматических цветах. Используются для знакомства с эталонами цвета, их сочетания, порядка (прямого и обратного), демонстрации и решения задач, связанных с поиском цвета.Возраст: 2-9";"";"Пособие«Разноцветные квадраты»";"";"";"posobieraznotsvetnye-kvadraty-gek-1051656054";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/eece0f7d-3d72-4d62-af61-7bd64a84fc19.png"
"Персонажи 'Слон и Слоник' (Лип-Лип и Ляп-Ляп)";"";"";"RUB";"60";"1";"";"";"";"Сказочные образы помогают ребенку погрузится в сказочную атмосферу.Возраст: 3-9";"";"Персонажи 'Слон и Слоник' (Лип-Лип и Ляп-Ляп)";"";"";"personazhi-slon-i-slonik-lip-lip-i-lyap-lyap-gek-1310905074";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_11_30/cb907e4d-bbf8-4ada-8287-970099cee8b9.png"
"Набор карточек «Разноцветные гномы»";"";"";"RUB";"210";"1";"";"";"";"Карточки с разноцветными образами помогают ребенку освоить цвета радуги, их названия и порядок, решает логические задачи на поиск и определение цвета.Возраст: 3-6";"";"Набор карточек «Разноцветные гномы»";"";"";"nabor-kartochek-raznotsvetnye-gnomy-gek-686506508";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/d590fcd6-7cb9-49d7-9648-e94f65dc08f3.png"
"Набор карточек 'Забавные цифры'";"";"";"RUB";"170";"1";"";"";"";"Карточки с образами цифр развивают детскую фантазию, помогают запоминать цифры, осваивать количественный и порядковый счет, счет через один и так далее, решать математические задачи.Возраст: 3-6";"";"Набор карточек 'Забавные цифры'";"";"";"nabor-kartochek-zabavnye-tsifry-gek-1013690941";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/313340de-cae1-4692-9509-c7d83032e6d6.png"
"Набор карточек 'Забавные буквы' (Гласные)";"";"";"RUB";"170";"1";"";"";"";"Карточки с образами букв алфавита развивают фантазию ребенка, помогают ему запоминать буквы в игровой форме, выполнять задания с гласнвми буквами.Возраст: 3-6";"";"Набор карточек 'Забавные буквы' (Гласные)";"";"";"nabor-kartochek-zabavnye-bukvy-glasnye-gek-655680291";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/86b94604-3678-485c-8ef7-9a9e7fbdbd8d.png"
"Набор 'Разноцветные кружки 1' (красн, син, зел, желт, бел)";"";"";"RUB";"390";"1";"";"";"";"Возраст: 3-9";"";"Набор 'Разноцветные кружки 1' (красн, син, зел, желт, бел)";"";"";"nabor-raznotsvetnye-kruzhki-1-krasn-sin-zel-zhelt-bel-gek-1415029538";"";"";"";"";"";"";"http://www.geokont.ru/images/2017_02_09/3669cbc2-42b4-4f4d-9e91-b2f5e7e02f11.png"
"Набор 'Зажимы на липучках' (20 шт.)";"";"";"RUB";"310";"1";"";"";"";"Зажимы служат для надежного закрепления игрового материала на поле КоврографаВозраст: 3-9";"";"Набор 'Зажимы на липучках' (20 шт.)";"";"";"nabor-zazhimy-na-lipuchkakh-20-sht-gek-498977129";"";"";"";"";"";"";"http://www.geokont.ru/images/2017_02_09/f0590eca-3058-47d4-9ca6-a971e199e94e.png"
"Набор  'Разноцветные кружки 2' (оранж, фиол, голуб, сер, черн)";"";"";"RUB";"390";"1";"";"";"";"Возраст: 3-9";"";"Набор  'Разноцветные кружки 2' (оранж, фиол, голуб, сер, черн)";"";"";"nabor--raznotsvetnye-kruzhki-2-oranzh-fiol-golub-ser-chern-gek-1667046176";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_11_30/0d5401ed-215e-4801-aeb7-3b87b6e1bba2.png"
"Методические рекомендации к 'Коврографу Ларчик' и 'МиниЛарчик'";"";"";"RUB";"240";"1";"";"";"";"Данное методическое пособие раскрывает специфику использования универсальных средств - игрового комплекса 'Коврограф Ларчик' и игрового комплекта 'МиниЛарчик', в практике дошкольного образования, в том числе с детьми с ограниченными возможностями здоровья, в контексте ФГОС дошкольного образования, а также в аспекте преемственности с ФГОС начального общего образования. Описываемые универсальные игровые средства относятся к категории развивающего обучения.Возраст: любой";"";"Методические рекомендации к 'Коврографу Ларчик' и 'МиниЛарчик'";"";"";"metodicheskie-rekomendatsii-k-kovrografu-larchik-i-minilarchik-gek-235337666";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_11_30/f0cdff1e-eeb2-484e-926f-4bfe0c4c4d8b.png"
"Комплект «Разноцветные верёвочки 2» (оранж, фиол, голуб, сер, черн по 1 м)";"";"";"RUB";"150";"1";"";"";"";"Липкие веревочки могут быть как самостоятельными игровыми элементами, так и помогать в построении фигур, соединении игровых элементов и решении прочих игровых задач.Возраст: 3-9";"";"Комплект «Разноцветные верёвочки 2» (оранж, фиол, голуб, сер, черн по 1 м)";"";"";"komplekt-raznotsvetnye-verёvochki-2-oranzh-fiol-golub-ser-chern-po-1-m-gek-294803641";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_11_30/e852245d-b77a-4a64-b596-8cf1538ea3f0.png"
"Комплект «Круговерт и стрелочка»";"";"";"RUB";"160";"1";"";"";"";"Коструктивные элементы для установления визуальных связей между игровыми пособиями на коврографе и для построения простых геометрических фигур.Возраст: 3-9";"";"Комплект «Круговерт и стрелочка»";"";"";"komplekt-krugovert-i-strelochka-gek-794273452";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/37d45f81-6097-4887-8190-c08b8fb122b5.png"
"Комплект «Кармашки» (10 шт.)";"";"";"RUB";"270";"1";"";"";"";"Кармашки, удобный вспомогательный элемент, используются для размещения карточек шириной до 7 см (например, букв, цифр на прозрачной основе)Возраст: 2-9";"";"Комплект «Кармашки» (10 шт.)";"";"";"komplekt-karmashki-10-sht-gek-1743896622";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/f0499484-41c8-49f3-8c52-58ad6513c814.png"
"Комплект 'Разноцветные верёвочки 1' (красн, син, зел, желт, бел по 1 м)";"";"";"RUB";"150";"1";"";"";"";"Липкие веревочки могут быть как самостоятельными игровыми элементами, так и помогать в построении фигур, соединении игровых элементов и решении прочих игровых задач.Возраст: 3-9";"";"Комплект 'Разноцветные верёвочки 1' (красн, син, зел, желт, бел по 1 м)";"";"";"komplekt-raznotsvetnye-verёvochki-1-krasn-sin-zel-zhelt-bel-po-1-m-gek-1606167195";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/6890f0e6-3c39-4608-87d7-83887c8b122e.png"
"Комплект 'Буквы, цифры, знаки на прозрачной основе'";"";"";"RUB";"350";"1";"";"";"";"Знаковые элементы (буквы, цифры, математические знаки) размещаются на игровом поле и используются, согласно поставленным развивающим задачам. Прозрачность помогает овладеть правильным написанием букв и цифр.Возраст: 4-9";"";"Комплект 'Буквы, цифры, знаки на прозрачной основе'";"";"";"komplekt-bukvy-tsifry-znaki-na-prozrachnoy-osnove-gek-1643556506";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/fc673625-f44c-4b40-ad95-946998470587.png"
"Коврограф «Ларчик»(комплект + методика)";"";"";"RUB";"5890";"1";"";"";"";"Игровой комплекс - удобный для использования набор развивающих пособий. Специальное ковролиновое игровое поле прикрепляется к стене, на нем располагаются разнообразные пособия, с помощью которых проводятся игры (по собственному сценарию или согласно методическому пособию). Игровой комплекс станет прекрасным решением для групповых развивающих занятий  в образовательных учреждениях.Возраст: 2-9";"";"Коврограф «Ларчик»(комплект + методика)";"";"";"kovrograf-larchikkomplekt--metodika-gek-1164031938";"";"";"";"";"";"";"http://www.geokont.ru/images/2017_02_08/01d9ba35-1065-4d77-a28d-6131cfe219c1.png"
"Касса трехрядная";"";"";"RUB";"250";"1";"";"";"";"Касса, удобный вспомогательный элемент, используется для размещения рядов карточек.Возраст: 2-9";"";"Касса трехрядная";"";"";"kassa-trekhryadnaya-gek-757977351";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/329cbb3d-7aa4-4694-81a2-2fa3f8a4248d.png"
"Карточки отрицания";"";"";"RUB";"120";"1";"";"";"";"Знаковый элемент - карточка отрицания свойств. Прикрепляется на игровое пособие для обозначения отсутствия у него какого-либо свойства.Возраст: 4-9";"";"Карточки отрицания";"";"";"kartochki-otritsaniya-gek-1395174088";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/6d0a01a2-421b-4e35-a052-9bd5d03cd5f9.png"
"Игровое поле";"";"";"RUB";"2180";"1";"";"";"";"Игровое поле из ковролина со специальной разметкой незаменимо для проведения развивающих занятий. Поле прикрепляется к стене, на нем располагаются игровые элементы, которые легко перемещать, согласно игровым заданиям.Возраст: 2-9";"";"Игровое поле";"";"";"igrovoe-pole-gek-351723655";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/2569ce47-55c1-4ba8-87c7-5b705b943fee.png"
"«Лев-Павлин-Пони-Лань» Пространственные образы";"";"";"RUB";"140";"1";"";"";"";"Карточки для решения разнообразных задач на пространственные отношения.Возраст: 3-6";"";"«Лев-Павлин-Пони-Лань» Пространственные образы";"";"";"lev-pavlin-poni-lan-prostranstvennye-obrazy-gek-446186300";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/a5fedd54-869b-4eed-a4ad-a89137e3c309.png"
"!!Приложения к Коврографу 'Ларчик'";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Умные стрелочки Ларчик";"";"";"RUB";"900";"1";"";"";"";"Знаковый элемент 'Умные стрелочки' на деревянной основе помогают в решении развивающих задач и устанавливают связи между игровыми элементами. Отлично подходит для работы совместно с Коврографом Ларчик.
Пособие способствует развитию интеллектуальных и математических способностей.Возраст: 4-8";"";"Умные стрелочки Ларчик";"";"";"umnye-strelochki-larchik-gek-362556314";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_03_04/96c1cc05-80c5-46ec-82c5-7c896cf0af3d.png"
"Набор цифр и знаков Ларчик";"";"";"RUB";"720";"1";"";"";"";"Цифры и математические знаки на деревянной основе размещаются на игровом поле и используются, согласно поставленным развивающим задачамВозраст: 4-9";"";"Набор цифр и знаков Ларчик";"";"";"nabor-tsifr-i-znakov-larchik-gek-1045198207";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/789193c3-a6d1-4d43-ba65-3c923fb97aa8.png"
"Набор букв и знаков Ларчик";"";"";"RUB";"2290";"1";"";"";"";"Буквы русского алфавита (гласные и согласные) и знаки на деревянной основе размещаются на игровом поле и используются, согласно поставленным развивающим задачамВозраст: 4-9";"";"Набор букв и знаков Ларчик";"";"";"nabor-bukv-i-znakov-larchik-gek-217354324";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/3670ab7d-a51c-428f-832e-9cc03d4aff74.png"
"Набор 'Разноцветные липучки'";"";"";"RUB";"360";"1";"";"";"";"Отличное дополнение к Елочке ЛарчикВозраст: 3-7";"";"Набор 'Разноцветные липучки'";"";"";"nabor-raznotsvetnye-lipuchki-gek-1362176715";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_11_30/81082cb8-c003-481f-a97d-43c69dbc446e.png"
"!!МиниЛарчик";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Образные карточки +";"";"";"RUB";"380";"1";"";"";"";"Возраст: 3-9";"";"Образные карточки +";"";"";"obraznye-kartochki--gek-1941280012";"";"";"";"";"";"";"http://www.geokont.ru/images/2017_02_09/44905989-81c5-484a-913f-c6acbda2bcbf.png"
"МиниЛарчик (в состав входят поз. МЛ-012, МЛ-003, МЛ-004)";"";"";"RUB";"1840";"1";"";"";"";"Игровое поле может располагаться как на стене, так и на столе. Игровые элементы крепятся с помощью липкой ленты. Комплект является индивидуальным пособием для каждого ребенка для выполнения задач любой сложности. Облегчает проверку выполнения задания ребенком, а также самопроверку самим ребенком.Возраст: 3-9";"";"МиниЛарчик (в состав входят поз. МЛ-012, МЛ-003, МЛ-004)";"";"";"minilarchik-v-sostav-vkhodyat-poz-ml-012-ml-003-ml-004-gek-2025426920";"";"";"";"";"";"";"http://www.geokont.ru/images/2017_02_09/ab82fc48-0157-46cb-9fe0-769773d6a80e.png"
"Игровое поле 'МиниЛарчик'";"";"";"RUB";"460";"1";"";"";"";"Игровое поле из ковролина со специальной разметкой незаменимо для проведения развивающих занятий. Поле прикрепляется к стене, на нем располагаются игровые элементы, которые легко перемещать, согласно игровым заданиям.Возраст: 3-9";"";"Игровое поле 'МиниЛарчик'";"";"";"igrovoe-pole-minilarchik-gek-635725091";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/f330393e-7151-436b-9306-e53b0d4ddf82.png"
"Волшебный сундучок 'МиниЛарчик'";"";"";"RUB";"1380";"1";"";"";"";"Методические рекомендации, разноцветные  веревочки  1, разноцветные квадраты, круговерт и стрелочка, слон и слоник (лип-лип,ляп-ляп), разноцветные кружки 1, забавные цифры, забавные буквы, пространственные карточки, разноцветные гномыВозраст: 3-9";"";"Волшебный сундучок 'МиниЛарчик'";"";"";"volshebnyy-sunduchok-minilarchik-gek-1998173378";"";"";"";"";"";"";"http://www.geokont.ru/images/2017_02_09/cffba753-6110-480c-b9ec-8f031884837b.png"
"!!Игровизор";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Игровизор + приложения";"";"";"RUB";"490";"1";"";"";"";"Листы с развивающими заданиями подкладываются под специальный прозрачный пластиковый слой Игровизора, на котором ребенок маркером пишет ответы к задачам или выполняет любые другие задания, а след маркера легко удаляется бумажной салфеткой.Возраст: 3-8";"";"Игровизор + приложения";"";"";"igrovizor--prilozheniya-gek-946329778";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/40a3b6d2-80f2-436b-aa65-466c734b7a22.png"
"Игровизор + маркер";"";"";"RUB";"160";"1";"";"";"";"На специальный картонный лист Игровизора нанесена сетка, с помощью которой ребенок рисует любые фигуры, переносит изображения по клеточкам, выполняет графические диктанты на ориентировку в пространстве листа. Задания выполняются маркером на верхнем листе, а надписи и рисунки затем легко удаляются бумажной салфеткой.Возраст: 3-8";"";"Игровизор + маркер";"";"";"igrovizor--marker-gek-108562079";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/5b96d0ca-29de-4eb2-ba84-b5a5f3e286f5.png"
"Игровизор";"";"";"RUB";"140";"1";"";"";"";"На специальный картонный лист Игровизора нанесена сетка, с помощью которой ребенок рисует любые фигуры, переносит изображения по клеточкам, выполняет графические диктанты на ориентировку в пространстве листа. Задания выполняются маркером (маркер на водной основе в комплект не входит) на верхнем листе, а надписи и рисунки затем легко удаляются бумажной салфеткой.Возраст: 3-8";"";"Игровизор";"";"";"igrovizor-gek-681733312";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_03_15/486f241e-9722-4bc1-a988-247417b3121b.png"
"!!Печатная продукция";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Альбом 'Автосказка 4'";"";"";"RUB";"90";"1";"";"";"";"Альбом для рисования, раскрашивания и творчества ребенка. Развивает у ребенка наблюдательность, координацию движений. Можно использовать с игровым пособием 'Игровизор'Возраст: 3-8";"";"Альбом 'Автосказка 4'";"";"";"albom-avtoskazka-4-gek-525140443";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/59991e15-b72a-4929-973f-a6a3d727bb13.png"
"Альбом 'Автосказка 3'";"";"";"RUB";"90";"1";"";"";"";"Альбом для рисования, раскрашивания и творчества ребенка. Развивает у ребенка наблюдательность, координацию движений. Можно использовать с игровым пособием 'Игровизор'Возраст: 3-8";"";"Альбом 'Автосказка 3'";"";"";"albom-avtoskazka-3-gek-2089140768";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/a51cb4fe-01b8-4373-8915-9345fd5cefb1.png"
"Альбом 'Автосказка 2'";"";"";"RUB";"90";"1";"";"";"";"Альбом для рисования, раскрашивания и творчества ребенка. Развивает у ребенка наблюдательность, координацию движений. Можно использовать с игровым пособием 'Игровизор'Возраст: 3-8";"";"Альбом 'Автосказка 2'";"";"";"albom-avtoskazka-2-gek-1636405523";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/3a297ea0-0597-4a14-aa4e-c8d58be7c56e.png"
"Альбом 'Автосказка 1'";"";"";"RUB";"90";"1";"";"";"";"Альбом для рисования, раскрашивания и творчества ребенка. Развивает у ребенка наблюдательность, координацию движений. Можно использовать с игровым пособием 'Игровизор'Возраст: 3-8";"";"Альбом 'Автосказка 1'";"";"";"albom-avtoskazka-1-gek-343015028";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/deb53ffa-afa1-4be7-8e6e-ec7ef4f6b3f4.png"
"'Лабиринты Цифр. Выпуск 1' (Счет до 5)";"";"";"RUB";"85";"1";"";"";"";"Задания направлены на формирование моторного образа цифры, освоение количественного и порядкового счета. Занятия по пособию будут наиболее эффективны при использовании игрового пособия 'Игровизор'.Возраст: 3-6";"";"'Лабиринты Цифр. Выпуск 1' (Счет до 5)";"";"";"labirinty-tsifr-vypusk-1-schet-do-5-gek-607937436";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/29d9d68e-dc07-459f-8c70-c4ac2f59c179.png"
