Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;Изображения
"Хлопушка";"";"к2-хл-01";"RUB";"650Р";"1";"";"";"";"Русский народный шумовой инструмент. Материал — высококачественный, пропаренный и специально высушенный бук, дуб, клён. Высокоточное оборудование и инновационные технологии, тестирование всех компонентов и многолетний опыт работы мастеров-музыкантов позволяет изготавливать эксклюзивные инструменты, которые порадуют вас прекрасным звучанием, надёжностью и продуманным дизайном. Каждая бич-хлопушка расписана Хохломской или Городецкой росписью руками профессиональных художников. Она состоит из двух деревянных пластин, скреплённых у основания прочным полимерным шнуром. На боковых сторонах пластин имеются небольшие ручки, за которые инструмент держат при ударах дощечек друг о друга. Звук у бич-хлопушки похож на щёлканье кнута: резкий и громкий";"";"Хлопушка";"";"";"khlopushka";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/hlopushka-2k-460x460.jpg"
"Ухват музыкальный";"";"эк-ух-01";"RUB";"6252Р";"1";"";"";"";"Если нашим ухватом, точнее черенком ударить об пол обязательно услышишь Б5/3 или Б6 или Б6/4 (уверен, что Вы меня поняли). Главное в нашей песне, чтобы всем было ВЕСЕЛО.";"";"Ухват музыкальный";"";"";"ukhvat-muzykalnyy";"";"";"";"https://masteras.ru/wp-content/uploads/2015/12/ukhvat-muzykalnyj_2-460x460.jpg"
"Трещотка пластинчатая на ручке";"";"т2-тр-07";"RUB";"646Р";"1";"";"";"";"";"";"Трещотка пластинчатая на ручке";"";"";"treshchotka-plastinchataya-na-ruchke";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/treshotka-plastinchataya-na-ruchke-t2-460x460.jpg"
"Трещотка пластинчатая на ручке";"";"к2-тр-07";"RUB";"894Р";"1";"";"";"";"Русский народный шумовой инструмент. Высокоточное оборудование и инновационные технологии, тестирование всех компонентов и многолетний опыт работы мастеров-музыкантов позволяет изготавливать эксклюзивные инструменты, которые порадуют вас прекрасным звучанием, надёжностью и продуманным дизайном. Каждая трещотка расписана Хохломской или Городецкой росписью руками профессиональных художников. Трещотка — самобытный русский народный инструмент. Районы бытования — Калужская, Орловская, Курская, Тульская области. Играют на трещотках преимущественно женщины, ритмически сопровождая величальные, плясовые, игровые и свадебные песни. В некоторых случаях используется как сольный инструмент с пением либо с гармоникой для сопровождения частушек, а также в составе инструментальных ансамблей. Для дополнения тембровой окраски к нему привязывали колокольчики или бубенцы. Разновидности трещоток, относящихся к разряду самозвучащих, существуют у многих народов мира и имеют различные названия и внешние конструктивные особенности. Например, осетинский ударный инструмент карцанг сделан из 3-7 деревянных пластин, закреплённых на рукоятке; кабардино-балкарский и адыгейский пхачич состоит из 3-7 деревянных пластин, связанных с одного конца и крепящихся к ручке и т.д. Разнообразные способы игры и ритмические рисунки вместе с перезвоном бубенцов делают трещотку одним из самобытных и интересных музыкальных инструментов. Трещотка изготовлена из буковых пластин, соединённых прочным полимерным шнуром. Между пластинами находятся специальные деревянные перемычки, которые определяют громкость и тембр инструмента. Играть на трещотке не сложно: нужно взять её обеими руками за крайние пластины, раскрыть и быстро сжать руки в исходное положение. Можно так же взять её обеими руками за крайние пластины, и поочерёдно передвигать руки вверх и вниз. Громкость звучания будет зависеть от скорости и интенсивности ваших движений. Можно перевернуть трещотку вверх пластинами, и она всё равно будет играть!";"";"Трещотка пластинчатая на ручке";"";"";"treshchotka-plastinchataya-na-ruchke";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/treshotka-plastinchataya-na-ruchke-460x460.jpg"
"Трещотка пластинчатая малая с бубенцами";"";"т1-тр-04";"RUB";"1293Р";"1";"";"";"";"";"";"Трещотка пластинчатая малая с бубенцами";"";"";"treshchotka-plastinchataya-malaya-s-bubentsami";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/treshotka-plastinchataya-malaya-s-bubentsami-t1-460x460.jpg"
"Трещотка пластинчатая малая с бубенцами";"";"к1-тр-04";"RUB";"1815Р";"1";"";"";"";"Русский народный шумовой инструмент. Материал — высококачественный, пропаренный и специально высушенный бук, дуб, клён. Высокоточное оборудование и инновационные технологии, тестирование всех компонентов и многолетний опыт работы мастеров-музыкантов позволяет изготавливать эксклюзивные инструменты, которые порадуют вас прекрасным звучанием, надёжностью и продуманным дизайном. Каждая трещотка расписана Хохломской или Городецкой росписью руками профессиональных художников. Трещотка — самобытный русский народный инструмент. Районы бытования — Калужская, Орловская, Курская, Тульская области. Играют на трещотках преимущественно женщины, ритмически сопровождая величальные, плясовые, игровые и свадебные песни. В некоторых случаях используется как сольный инструмент с пением либо с гармоникой для сопровождения частушек, а также в составе инструментальных ансамблей. Для дополнения тембровой окраски к нему привязывали колокольчики или бубенцы. Разновидности трещоток, относящихся к разряду самозвучащих, существуют у многих народов мира и имеют различные названия и внешние конструктивные особенности. Например, осетинский ударный инструмент карцанг сделан из 3-7 деревянных пластин, закреплённых на рукоятке; кабардино-балкарский и адыгейский пхачич состоит из 3-7 деревянных пластин, связанных с одного конца и крепящихся к ручке и т.д. Разнообразные способы игры и ритмические рисунки вместе с перезвоном бубенцов делают трещотку одним из самобытных и интересных музыкальных инструментов. Трещотка изготовлена из буковых пластин, соединённых прочным полимерным шнуром. Между пластинами находятся специальные деревянные перемычки, которые определяют громкость и тембр инструмента. Играть на трещотке не сложно: нужно взять её обеими руками за крайние пластины, раскрыть и быстро сжать руки в исходное положение. Можно так же взять её обеими руками за крайние пластины, и поочерёдно передвигать руки вверх и вниз. Громкость звучания будет зависеть от скорости и интенсивности ваших движений. Можно перевернуть трещотку вверх пластинами, и она всё равно будет играть!";"";"Трещотка пластинчатая малая с бубенцами";"";"";"treshchotka-plastinchataya-malaya-s-bubentsami";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/treshotka-plastinchataya-malaya-s-bubentcami-1k-460x460.jpg"
"Трещотка пластинчатая малая";"";"т1-тр-03";"RUB";"1193Р";"1";"";"";"";"";"";"Трещотка пластинчатая малая";"";"";"treshchotka-plastinchataya-malaya";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/treshotka-plastinchataya-malaya-t1-460x460.jpg"
"Трещотка пластинчатая малая";"";"к1-тр-03";"RUB";"1749Р";"1";"";"";"";"Русский народный шумовой инструмент. Материал — высококачественный, пропаренный и специально высушенный бук, дуб, клён. Высокоточное оборудование и инновационные технологии, тестирование всех компонентов и многолетний опыт работы мастеров-музыкантов позволяет изготавливать эксклюзивные инструменты, которые порадуют вас прекрасным звучанием, надёжностью и продуманным дизайном. Каждая трещотка расписана Хохломской или Городецкой росписью руками профессиональных художников. Трещотка — самобытный русский народный инструмент. Районы бытования — Калужская, Орловская, Курская, Тульская области. Играют на трещотках преимущественно женщины, ритмически сопровождая величальные, плясовые, игровые и свадебные песни. В некоторых случаях используется как сольный инструмент с пением либо с гармоникой для сопровождения частушек, а также в составе инструментальных ансамблей. Для дополнения тембровой окраски к нему привязывали колокольчики или бубенцы. Разновидности трещоток, относящихся к разряду самозвучащих, существуют у многих народов мира и имеют различные названия и внешние конструктивные особенности. Например, осетинский ударный инструмент карцанг сделан из 3-7 деревянных пластин, закреплённых на рукоятке; кабардино-балкарский и адыгейский пхачич состоит из 3-7 деревянных пластин, связанных с одного конца и крепящихся к ручке и т.д. Разнообразные способы игры и ритмические рисунки вместе с перезвоном бубенцов делают трещотку одним из самобытных и интересных музыкальных инструментов. Трещотка изготовлена из буковых пластин, соединённых прочным полимерным шнуром. Между пластинами находятся специальные деревянные перемычки, которые определяют громкость и тембр инструмента. Играть на трещотке не сложно: нужно взять её обеими руками за крайние пластины, раскрыть и быстро сжать руки в исходное положение. Можно так же взять её обеими руками за крайние пластины, и поочерёдно передвигать руки вверх и вниз. Громкость звучания будет зависеть от скорости и интенсивности ваших движений. Можно перевернуть трещотку вверх пластинами, и она всё равно будет играть!";"";"Трещотка пластинчатая малая";"";"";"treshchotka-plastinchataya-malaya";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/treshotka-plastinchataya-malaya-1k-460x460.jpg"
"Трещотка пластинчатая из падука";"";"эд-тр-09";"RUB";"6669Р";"1";"";"";"";"Русский народный шумовой инструмент. Материал — высококачественный, пропаренный и специально высушенный Madagascar Ebony, Padouk. Высокоточное оборудование и инновационные технологии, тестирование всех компонентов и многолетний опыт работы мастеров-музыкантов позволяет изготавливать эксклюзивные инструменты, которые порадуют вас прекрасным звучанием, надёжностью и продуманным дизайном. Трещотка — самобытный русский народный инструмент. Районы бытования — Калужская, Орловская, Курская, Тульская области. Играют на трещотках преимущественно женщины, ритмически сопровождая величальные, плясовые, игровые и свадебные песни. В некоторых случаях используется как сольный инструмент с пением либо с гармоникой для сопровождения частушек, а также в составе инструментальных ансамблей. Для дополнения тембровой окраски к нему привязывали колокольчики или бубенцы. Разновидности трещоток, относящихся к разряду самозвучащих, существуют у многих народов мира и имеют различные названия и внешние конструктивные особенности. Например, осетинский ударный инструмент карцанг сделан из 3-7 деревянных пластин, закреплённых на рукоятке; кабардино-балкарский и адыгейский пхачич состоит из 3-7 деревянных пластин, связанных с одного конца и крепящихся к ручке и т.д. Разнообразные способы игры и ритмические рисунки вместе с перезвоном бубенцов делают трещотку одним из самобытных и интересных музыкальных инструментов. Трещотка изготовлена из пластин Padouk, соединённых прочным полимерным шнуром. Между пластинами находятся специальные деревянные перемычки, которые определяют громкость и тембр инструмента. Играть на трещотке не сложно: нужно взять её обеими руками за крайние пластины, раскрыть и быстро сжать руки в исходное положение. Можно так же взять её обеими руками за крайние пластины, и поочерёдно передвигать руки вверх и вниз. Громкость звучания будет зависеть от скорости и интенсивности ваших движений. Можно перевернуть трещотку вверх пластинами, и она всё равно будет играть!";"";"Трещотка пластинчатая из падука";"";"";"treshchotka-plastinchataya-iz-paduka";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/treshotka-plastinchataya-padouk-460x460.jpg"
"Трещотка пластинчатая из железного дерева";"";"эд-тр-10";"RUB";"6669Р";"1";"";"";"";"Русский народный шумовой инструмент. Материал — высококачественный, пропаренный и специально высушенный Madagascar Ebony, Bocote. Высокоточное оборудование и инновационные технологии, тестирование всех компонентов и многолетний опыт работы мастеров-музыкантов позволяет изготавливать эксклюзивные инструменты, которые порадуют вас прекрасным звучанием, надёжностью и продуманным дизайном. Трещотка — самобытный русский народный инструмент. Районы бытования — Калужская, Орловская, Курская, Тульская области. Играют на трещотках преимущественно женщины, ритмически сопровождая величальные, плясовые, игровые и свадебные песни. В некоторых случаях используется как сольный инструмент с пением либо с гармоникой для сопровождения частушек, а также в составе инструментальных ансамблей. Для дополнения тембровой окраски к нему привязывали колокольчики или бубенцы. Разновидности трещоток, относящихся к разряду самозвучащих, существуют у многих народов мира и имеют различные названия и внешние конструктивные особенности. Например, осетинский ударный инструмент карцанг сделан из 3-7 деревянных пластин, закреплённых на рукоятке; кабардино-балкарский и адыгейский пхачич состоит из 3-7 деревянных пластин, связанных с одного конца и крепящихся к ручке и т.д. Разнообразные способы игры и ритмические рисунки вместе с перезвоном бубенцов делают трещотку одним из самобытных и интересных музыкальных инструментов. Трещотка изготовлена из пластин Bocote, соединённых прочным полимерным шнуром. Между пластинами находятся специальные деревянные перемычки, которые определяют громкость и тембр инструмента. Играть на трещотке не сложно: нужно взять её обеими руками за крайние пластины, раскрыть и быстро сжать руки в исходное положение. Можно так же взять её обеими руками за крайние пластины, и поочерёдно передвигать руки вверх и вниз. Громкость звучания будет зависеть от скорости и интенсивности ваших движений. Можно перевернуть трещотку вверх пластинами, и она всё равно будет играть!";"";"Трещотка пластинчатая из железного дерева";"";"";"treshchotka-plastinchataya-iz-zheleznogo-dereva";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/treshotka-plastinchataya-bocote-460x460.jpg"
"Трещотка пластинчатая большая с бубенцами";"";"т1-тр-06";"RUB";"1636Р";"1";"";"";"";"";"";"Трещотка пластинчатая большая с бубенцами";"";"";"treshchotka-plastinchataya-bolshaya-s-bubentsami";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/treshotka-plastinchataya-bolshaya-s-bubentsami-t1-460x460.jpg"
"Трещотка пластинчатая большая с бубенцами";"";"к1-тр-06";"RUB";"2249Р";"1";"";"";"";"{tab Описание}
Русский народный шумовой инструмент. Материал — высококачественный, пропаренный и специально высушенный бук, дуб, клён. Высокоточное оборудование и инновационные технологии, тестирование всех компонентов и многолетний опыт работы мастеров-музыкантов позволяет изготавливать эксклюзивные инструменты, которые порадуют вас прекрасным звучанием, надёжностью и продуманным дизайном. Каждая трещотка расписана Хохломской или Городецкой росписью руками профессиональных художников. Трещотка — самобытный русский народный инструмент. Районы бытования — Калужская, Орловская, Курская, Тульская области. Играют на трещотках преимущественно женщины, ритмически сопровождая величальные, плясовые, игровые и свадебные песни. В некоторых случаях используется как сольный инструмент с пением либо с гармоникой для сопровождения частушек, а также в составе инструментальных ансамблей. Для дополнения тембровой окраски к нему привязывали колокольчики или бубенцы. Разновидности трещоток, относящихся к разряду самозвучащих, существуют у многих народов мира и имеют различные названия и внешние конструктивные особенности. Например, осетинский ударный инструмент карцанг сделан из 3-7 деревянных пластин, закреплённых на рукоятке; кабардино-балкарский и адыгейский пхачич состоит из 3-7 деревянных пластин, связанных с одного конца и крепящихся к ручке и т.д. Разнообразные способы игры и ритмические рисунки вместе с перезвоном бубенцов делают трещотку одним из самобытных и интересных музыкальных инструментов. Трещотка изготовлена из буковых пластин, соединённых прочным полимерным шнуром. Между пластинами находятся специальные деревянные перемычки, которые определяют громкость и тембр инструмента. Играть на трещотке не сложно: нужно взять её обеими руками за крайние пластины, раскрыть и быстро сжать руки в исходное положение. Можно так же взять её обеими руками за крайние пластины, и поочерёдно передвигать руки вверх и вниз. Громкость звучания будет зависеть от скорости и интенсивности ваших движений. Можно перевернуть трещотку вверх пластинами, и она всё равно будет играть!
{tab Техническое описание}
Представляет собой деревянные пластины, соединенные капроновой нитью через перемычки в форме шариков диаметром 4 мм. Пластины изготовлены из бука марки «люкс». Крайние пластины выдвинуты вверх на 40 мм для удобного захвата при игре.
На концах капроновой нити крепятся по два деревянных шарика.
Трещотка оснащена бубенчиками в количестве 4 штук.
Размеры:

Длина пластины 190 мм,
Ширина 40 мм,
Толщина 5 мм.

Количество пластин 17 шт.
Трещотки расписаны Хохломской и Городецкой росписью на предприятиях нижегородских художественных промыслов.
{tab Приёмы игры}

Трещотку держат на уровне груди, за выступающие боковые пластины слегка раздвинув их снизу. Плавно поднимают то одну то другую руку, добиваясь ровного перемещения пластин.
Трещотку держат одной рукой, а другой рукой играют ритмический рисунок по нижним пластинам трещотки.
Трещотку переворачивают «вверх ногами» и играют, как в первом варианте.

{/tabs}
Комплект поставки
Трещотка пластинчатая большая с бубенцами — 1 шт.";"";"Трещотка пластинчатая большая с бубенцами";"";"";"treshchotka-plastinchataya-bolshaya-s-bubentsami";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/full_treshotka-plastinchataya-bolshaya-s-bubentcami-1k.jpg"
"Трещотка пластинчатая большая";"";"т1-тр-05";"RUB";"1487Р";"1";"";"";"";"";"";"Трещотка пластинчатая большая";"";"";"treshchotka-plastinchataya-bolshaya";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/treshotka-plastinchataya-bolshaya-t1-460x460.jpg"
"Трещотка пластинчатая большая";"";"к1-тр-05";"RUB";"2144Р";"1";"";"";"";"Русский народный шумовой инструмент. Материал — высококачественный, пропаренный и специально высушенный бук, дуб, клён. Высокоточное оборудование и инновационные технологии, тестирование всех компонентов и многолетний опыт работы мастеров-музыкантов позволяет изготавливать эксклюзивные инструменты, которые порадуют вас прекрасным звучанием, надёжностью и продуманным дизайном. Каждая трещотка расписана Хохломской или Городецкой росписью руками профессиональных художников. Трещотка — самобытный русский народный инструмент. Районы бытования — Калужская, Орловская, Курская, Тульская области. Играют на трещотках преимущественно женщины, ритмически сопровождая величальные, плясовые, игровые и свадебные песни. В некоторых случаях используется как сольный инструмент с пением либо с гармоникой для сопровождения частушек, а также в составе инструментальных ансамблей. Для дополнения тембровой окраски к нему привязывали колокольчики или бубенцы. Разновидности трещоток, относящихся к разряду самозвучащих, существуют у многих народов мира и имеют различные названия и внешние конструктивные особенности. Например, осетинский ударный инструмент карцанг сделан из 3-7 деревянных пластин, закреплённых на рукоятке; кабардино-балкарский и адыгейский пхачич состоит из 3-7 деревянных пластин, связанных с одного конца и крепящихся к ручке и т.д. Разнообразные способы игры и ритмические рисунки вместе с перезвоном бубенцов делают трещотку одним из самобытных и интересных музыкальных инструментов. Трещотка изготовлена из буковых пластин, соединённых прочным полимерным шнуром. Между пластинами находятся специальные деревянные перемычки, которые определяют громкость и тембр инструмента. Играть на трещотке не сложно: нужно взять её обеими руками за крайние пластины, раскрыть и быстро сжать руки в исходное положение. Можно так же взять её обеими руками за крайние пластины, и поочерёдно передвигать руки вверх и вниз. Громкость звучания будет зависеть от скорости и интенсивности ваших движений. Можно перевернуть трещотку вверх пластинами, и она всё равно будет играть!";"";"Трещотка пластинчатая большая";"";"";"treshchotka-plastinchataya-bolshaya";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/treshotka-plastinchataya-bolshaya-1k-460x460.jpg"
"Трещотка пластинчатая «малютка» с бубенцами";"";"т2-тр-04";"RUB";"802Р";"1";"";"";"";"";"";"Трещотка пластинчатая «малютка» с бубенцами";"";"";"treshchotka-plastinchataya-malyutka-s-bubentsami";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/treshotka-plastinchataya-malutka-s-bubentsami-t2-460x460.jpg"
"Трещотка пластинчатая «малютка» с бубенцами";"";"к2-тр-04";"RUB";"1051Р";"1";"";"";"";"Русский народный шумовой инструмент. Материал — высококачественный, пропаренный и специально высушенный бук, дуб, клён. Высокоточное оборудование и инновационные технологии, тестирование всех компонентов и многолетний опыт работы мастеров-музыкантов позволяет изготавливать эксклюзивные инструменты, которые порадуют вас прекрасным звучанием, надёжностью и продуманным дизайном. Каждая трещотка расписана Хохломской или Городецкой росписью руками профессиональных художников. Трещотка — самобытный русский народный инструмент. Районы бытования — Калужская, Орловская, Курская, Тульская области. Играют на трещотках преимущественно женщины, ритмически сопровождая величальные, плясовые, игровые и свадебные песни. В некоторых случаях используется как сольный инструмент с пением либо с гармоникой для сопровождения частушек, а также в составе инструментальных ансамблей. Для дополнения тембровой окраски к нему привязывали колокольчики или бубенцы. Разновидности трещоток, относящихся к разряду самозвучащих, существуют у многих народов мира и имеют различные названия и внешние конструктивные особенности. Например, осетинский ударный инструмент карцанг сделан из 3-7 деревянных пластин, закреплённых на рукоятке; кабардино-балкарский и адыгейский пхачич состоит из 3-7 деревянных пластин, связанных с одного конца и крепящихся к ручке и т.д. Разнообразные способы игры и ритмические рисунки вместе с перезвоном бубенцов делают трещотку одним из самобытных и интересных музыкальных инструментов. Трещотка изготовлена из буковых пластин, соединённых прочным полимерным шнуром. Между пластинами находятся специальные деревянные перемычки, которые определяют громкость и тембр инструмента. Играть на трещотке не сложно: нужно взять её обеими руками за крайние пластины, раскрыть и быстро сжать руки в исходное положение. Можно так же взять её обеими руками за крайние пластины, и поочерёдно передвигать руки вверх и вниз. Громкость звучания будет зависеть от скорости и интенсивности ваших движений. Можно перевернуть трещотку вверх пластинами, и она всё равно будет играть!";"";"Трещотка пластинчатая «малютка» с бубенцами";"";"";"treshchotka-plastinchataya-malyutka-s-bubentsami";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/treshotka-plastinchataya-malutka-s-bubentsami-2k-460x460.jpg"
